property_index,物件名,所在地,property_latitude,property_longitude,competitor_id,competitor_name,competitor_genre,competitor_source,competitor_address,competitor_lat,competitor_lng,rating,review_count,url,distance_m,within_500m,within_1000m
9,サニープレイス松縄103号室【松縄町】レインボーテナント,香川県高松市松縄町-1030―6,34.317896,134.0617251,TBL00014,Lunch & Sweets STORY,林道 / カフェ,tabelog,高松市松縄町1074-6シャ-メゾン シュロス松縄 1F,34.318373894467,134.063453056879,,52,https://tabelog.com/kagawa/A3701/A370101/37011725/,167.4,True,True
13,丸協ビル2F【今里町】レインボーエリアテナント,香川県高松市今里町2-29-21,34.3252684,134.0629058,TBL00014,Lunch & Sweets STORY,林道 / カフェ,tabelog,高松市松縄町1074-6シャ-メゾン シュロス松縄 1F,34.318373894467,134.063453056879,,52,https://tabelog.com/kagawa/A3701/A370101/37011725/,768.3,False,True
20,川田ビル【香西東町】,香川県高松市香西東町-329-11,34.3403451,134.007635,TBL00030,名物かまど 高松郷東店,高松市 / ケーキ、和菓子、カフェ・喫茶店(カフェ),tabelog,高松市郷東町17-7,34.341782203103,134.015120656237,3.03,14,https://tabelog.com/kagawa/A3701/A370101/37007002/,705.6,False,True
21,二ツ橋ビル201,香川県高松市上之町1丁目-13-18,34.3209651,134.0447038,TBL00003,掬月亭,栗林公園北口、栗林公園、栗林 / 甘味処,tabelog,高松市栗林町1-20-16栗林公園内,34.329638376054,134.045692139326,,134,https://tabelog.com/kagawa/A3701/A370101/37000927/,968.7,False,True
22,二ツ橋ビル202,香川県高松市上之町1丁目-13-18,34.3209651,134.0447038,TBL00003,掬月亭,栗林公園北口、栗林公園、栗林 / 甘味処,tabelog,高松市栗林町1-20-16栗林公園内,34.329638376054,134.045692139326,,134,https://tabelog.com/kagawa/A3701/A370101/37000927/,968.7,False,True
30,エトワールビル1F【常磐町】,香川県高松市常盤町1丁目-6-2,34.3387776,134.0510854,TBL00002,南珈琲店,瓦町、片原町（高松）、今橋 / カフェ,tabelog,高松市南新町3-4２Ｆ,34.340834167945,134.049232990504,,260,https://tabelog.com/kagawa/A3701/A370101/37003112/,285.0,True,True
30,エトワールビル1F【常磐町】,香川県高松市常盤町1丁目-6-2,34.3387776,134.0510854,TBL00004,三びきの子ぶた,瓦町、栗林、今橋 / カフェ,tabelog,高松市常磐町1-4-9,34.338805915014,134.051643709676,,224,https://tabelog.com/kagawa/A3701/A370101/37003080/,51.4,True,True
30,エトワールビル1F【常磐町】,香川県高松市常盤町1丁目-6-2,34.3387776,134.0510854,TBL00005,まちのシューレ 963 カフェ,片原町（高松）、瓦町、高松築港 / カフェ,tabelog,高松市丸亀町13-3高松丸亀町参番街東館 2F,34.344431387421,134.050395476655,,121,https://tabelog.com/kagawa/A3701/A370101/37005810/,631.9,False,True
30,エトワールビル1F【常磐町】,香川県高松市常盤町1丁目-6-2,34.3387776,134.0510854,TBL00006,コーヒーサロン 皇帝,片原町（高松）、高松築港、高松 / 喫茶店,tabelog,高松市兵庫町11-5,34.345992894073,134.049778987677,,124,https://tabelog.com/kagawa/A3701/A370101/37004429/,811.2,False,True
30,エトワールビル1F【常磐町】,香川県高松市常盤町1丁目-6-2,34.3387776,134.0510854,TBL00010,CAFE LOURDES,片原町（高松）、高松築港、高松 / カフェ,tabelog,高松市兵庫町1-15富貴ビル2F,34.346328673114,134.049823830859,,118,https://tabelog.com/kagawa/A3701/A370101/37006321/,847.6,False,True
30,エトワールビル1F【常磐町】,香川県高松市常盤町1丁目-6-2,34.3387776,134.0510854,TBL00011,グレコ,瓦町、栗林、栗林公園北口 / 喫茶店,tabelog,高松市田町11-2,34.337534757488,134.049009864241,,89,https://tabelog.com/kagawa/A3701/A370101/37004273/,235.4,True,True
30,エトワールビル1F【常磐町】,香川県高松市常盤町1丁目-6-2,34.3387776,134.0510854,TBL00015,くつわ堂 総本店,片原町（高松）、高松築港、高松 / 喫茶店,tabelog,高松市片原町1-2,34.346191042264,134.050850949274,,76,https://tabelog.com/kagawa/A3701/A370101/37005297/,824.6,False,True
30,エトワールビル1F【常磐町】,香川県高松市常盤町1丁目-6-2,34.3387776,134.0510854,TBL00019,tri cafe,片原町（高松）、高松築港、高松 / カフェ,tabelog,高松市兵庫町1-3２Ｆ,34.346279429433,134.049901698739,,69,https://tabelog.com/kagawa/A3701/A370101/37003092/,841.2,False,True
30,エトワールビル1F【常磐町】,香川県高松市常盤町1丁目-6-2,34.3387776,134.0510854,TBL00020,城の眼,片原町（高松）、高松築港、瓦町 / 喫茶店,tabelog,高松市紺屋町2-4,34.344588045191,134.048731333599,,68,https://tabelog.com/kagawa/A3701/A370101/37002683/,681.3,False,True
30,エトワールビル1F【常磐町】,香川県高松市常盤町1丁目-6-2,34.3387776,134.0510854,TBL00023,dot．,高松市 / バー、ダイニングバー、カフェ・喫茶店(カフェ),tabelog,高松市古馬場町1-11キタジマビル 2F,34.343169869084,134.051125456603,3.14,33,https://tabelog.com/kagawa/A3701/A370101/37001113/,488.4,True,True
30,エトワールビル1F【常磐町】,香川県高松市常盤町1丁目-6-2,34.3387776,134.0510854,TBL00025,5デイズコーヒー,高松市 /カフェ・喫茶店(カフェ)、洋食、バル,tabelog,高松市鍛冶屋町1-112F,34.343462397504,134.049183621094,3.26,56,https://tabelog.com/kagawa/A3701/A370101/37009320/,549.4,False,True
30,エトワールビル1F【常磐町】,香川県高松市常盤町1丁目-6-2,34.3387776,134.0510854,TBL00026,サテンドール,高松市 /カフェ・喫茶店(喫茶店),tabelog,高松市塩上町1-1-23佐藤ビル １F,34.339160050423,134.053562075856,3.07,12,https://tabelog.com/kagawa/A3701/A370101/37005624/,231.3,True,True
30,エトワールビル1F【常磐町】,香川県高松市常盤町1丁目-6-2,34.3387776,134.0510854,TBL00028,世界劇場,高松市 /カフェ・喫茶店(カフェ),tabelog,高松市古馬場町13-7ル-ベルビル 4F,34.341952230009,134.05140449016,3.08,10,https://tabelog.com/kagawa/A3701/A370101/37013284/,354.2,True,True
